,Frame,Row,Column,Radius,Peak Intensity
0,0.0,12.0,196.0,3.0,5.78738797608176
1,0.0,15.0,216.0,3.08113883008419,7.6993214876744815
2,0.0,25.5,231.5,1.5811388300841898,5.589637720161264
3,0.0,37.0,223.0,5.0,16.258542221520784
4,0.0,41.5,181.5,1.5811388300841898,5.239324615641891
5,0.0,42.5,21.0,1.3090169943749475,5.055626936495443
6,0.0,53.0,98.0,4.0,11.344221534061973
7,0.0,56.5,58.5,5.02518653883117,8.71386487042409
8,0.0,63.5,144.0,6.7971538213960265,42.62004053568461
9,0.0,66.5,181.5,5.833508737848074,15.373652580736518
10,0.0,78.5,101.5,5.410182519361981,5.631751221787539
11,0.0,76.5,49.5,4.527692569068709,11.874722062860045
12,0.0,80.0,67.0,6.041381265149109,30.889491686815177
13,0.0,82.5,106.0,4.7624689052802225,12.361771834728586
14,0.0,83.5,194.0,0.5,4.531071427675059
15,0.0,99.0,95.0,6.541381265149109,35.515467671287865
16,0.0,104.5,79.5,5.522680508593631,17.526839065258585
17,0.0,105.5,170.5,5.6117788170446605,24.438106614747596
18,0.0,112.5,116.5,5.522680508593631,14.053011415812918
19,0.0,129.0,104.5,3.2706906325745546,7.89901673954563
20,0.0,130.5,234.0,6.260398644698074,39.30566691117855
21,0.0,131.5,96.5,3.0425218313645654,6.723651495198766
22,0.0,140.5,166.0,5.2624689052802225,17.269502166830563
23,0.0,145.0,64.5,4.265564437074637,12.724343755171475
24,0.0,145.0,33.0,6.041381265149109,29.85695599901348
25,0.0,162.0,190.0,8.06225774829855,63.06563433074473
26,0.0,164.5,119.5,6.519202405202649,41.971427252544004
27,0.0,166.5,101.0,2.7706906325745546,6.809897477655085
28,0.0,168.0,231.0,3.0,8.17830591338327
29,0.0,191.5,200.0,5.760398644698074,24.059625985952266
30,0.0,201.0,210.0,4.0,10.365232884973125
31,0.0,205.0,84.0,7.0,41.98466013622976
32,0.0,209.0,81.5,7.382491021535417,5.855538057507644
33,0.0,212.0,61.5,4.7624689052802225,17.311064623595712
34,0.0,222.0,234.5,6.758917211904549,37.406892520999406
35,0.0,227.0,122.0,4.0,11.33946237321247
36,0.0,229.5,140.0,2.7706906325745546,7.100651260938349
37,0.0,234.0,102.0,5.0,16.43212243662977
38,1.0,14.0,197.5,2.2807764064044154,6.104420325726807
39,1.0,15.5,215.0,3.2706906325745546,8.807603140198069
40,1.0,25.0,59.5,2.7706906325745546,6.365979964026067
41,1.0,25.5,231.5,2.5495097567963922,6.74255755623102
42,1.0,37.0,223.5,5.2624689052802225,16.9129555218216
43,1.0,38.0,20.0,2.0,5.6110165371164555
44,1.0,41.5,181.5,1.5811388300841898,5.487886355425104
45,1.0,52.0,98.5,4.265564437074637,11.479988032519145
46,1.0,59.0,59.5,5.315284759021296,8.917670415192745
47,1.0,64.0,144.0,7.035533905932738,42.01052217586869
48,1.0,66.0,181.5,6.045084971874736,14.58452677074169
49,1.0,79.0,101.0,6.0,7.19324244707137
50,1.0,75.5,198.0,1.7807764064044151,5.350193113709992
51,1.0,76.0,169.0,2.0,5.731724051875759
52,1.0,77.0,49.5,3.7655644370746373,8.814854279409303
53,1.0,79.5,67.0,6.7971538213960265,32.18567889333511
54,1.0,83.0,105.5,5.30755387715496,12.951526580481115
55,1.0,98.0,130.0,2.0,5.488300341610596
56,1.0,98.5,95.5,6.519202405202649,35.61495107667224
57,1.0,103.5,199.5,0.7071067811865476,4.698639630032048
58,1.0,105.0,79.5,5.760398644698075,18.077557415313507
59,1.0,104.5,122.0,3.2706906325745546,7.1275405606241975
60,1.0,105.5,169.5,5.522680508593631,25.764589888523147
61,1.0,105.5,183.5,3.5355339059327378,8.230190718158127
62,1.0,114.0,115.0,5.0,13.838669191512054
63,1.0,129.0,105.5,3.7655644370746373,8.017869394221464
64,1.0,130.0,234.5,6.260398644698075,38.109251303259754
65,1.0,131.5,96.0,2.7706906325745546,6.380905150615632
66,1.0,140.5,166.0,4.7624689052802225,15.76040353553914
67,1.0,145.5,32.5,6.519202405202649,28.8538705843182
68,1.0,145.5,64.5,4.527692569068709,13.308390693895888
69,1.0,161.0,189.5,8.319705149024927,64.64490508015791
70,1.0,163.5,108.0,0.8090169943749475,4.685705706616773
71,1.0,164.5,120.0,6.758917211904549,37.89806881497486
72,1.0,166.5,102.0,2.8669818343581808,6.743664662800342
73,1.0,168.0,230.0,3.0,7.543267768660172
74,1.0,191.5,199.5,5.522680508593631,21.266113620072105
75,1.0,196.5,27.5,1.5811388300841898,5.421913048199684
76,1.0,200.5,209.0,4.265564437074637,12.087787751524573
77,1.0,204.5,83.5,7.017925297194552,39.89634334681699
78,1.0,208.5,81.5,7.017925297194552,6.377469873783042
79,1.0,212.0,62.0,5.0,18.189954337889517
80,1.0,222.0,235.0,6.576915171081847,31.98830648705922
81,1.0,227.5,122.0,4.7624689052802225,13.93556374093535
82,1.0,230.0,140.0,3.0,7.30334534286915
83,1.0,234.5,101.5,5.522680508593631,16.807323354135406
84,2.0,12.5,198.5,2.065324293440291,5.085416332160094
85,2.0,15.5,215.5,3.5355339059327378,8.577024106380819
86,2.0,25.0,231.0,2.0,5.396158020122215
87,2.0,27.0,64.5,3.2706906325745546,6.886917227523966
88,2.0,30.5,12.0,1.3090169943749475,4.554883037702609
89,2.0,37.5,223.0,4.7624689052802225,16.588564639458838
90,2.0,42.0,182.0,2.0,5.874290943727971
91,2.0,50.0,180.0,1.0,4.578271225484471
92,2.0,53.0,98.5,3.7655644370746373,11.870530624427289
93,2.0,57.0,54.5,4.7624689052802225,10.512008993051523
